City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,New Richmond,45.123,-92.5366,275.97,93,0,2.06,US,1675904865
1,Hithadhoo,-0.6,73.0833,300.58,72,99,4.65,MV,1675904865
2,Busselton,-33.65,115.3333,294.62,55,0,5.27,AU,1675904673
3,Hermanus,-34.4187,19.2345,293.6,81,30,6.05,ZA,1675904866
4,Yerbogachen,61.2767,108.0108,252.19,98,100,2.08,RU,1675904867
5,Bolivar,37.6145,-93.4105,284.34,97,100,0.45,US,1675904868
6,Barra Patuca,15.8,-84.2833,297.9,81,0,5.25,HN,1675904869
7,Andenes,69.3143,16.1194,274.14,86,100,3.6,NO,1675904869
8,Sfantu Gheorghe,45.8667,25.7833,254.72,99,62,1.06,RO,1675904870
9,Sterling,39.0062,-77.4286,285.34,57,40,2.06,US,1675904789
10,Grindavik,63.8424,-22.4338,271.5,58,100,13.99,IS,1675904871
11,Klaksvik,62.2266,-6.589,275.66,65,89,18.63,FO,1675904871
12,Georgetown,5.4112,100.3354,300.11,94,40,2.06,MY,1675904176
13,Rikitea,-23.1203,-134.9692,299.82,72,6,6.24,PF,1675904873
14,Mahebourg,-20.4081,57.7,299.4,83,33,5.58,MU,1675904874
15,Kapaa,22.0752,-159.319,301.14,64,20,9.77,US,1675904874
16,San Juan,-31.5375,-68.5364,303.74,31,16,2.19,AR,1675904875
17,Kloulklubed,7.0419,134.2556,299.43,74,100,5.12,PW,1675904876
18,Nacala,-14.5428,40.6728,297.14,92,100,3.03,MZ,1675904876
19,Panguipulli,-39.6333,-72.3333,288.71,76,0,0.44,CL,1675904877
20,Mataura,-46.1927,168.8643,286.75,53,67,4.77,NZ,1675904878
21,Albany,42.6001,-73.9662,275.67,74,37,1.78,US,1675904386
22,Ponta Do Sol,32.6667,-17.1,287.99,74,18,2.94,PT,1675904879
23,Murgab,37.4966,61.9714,278.98,55,100,6.59,TM,1675904880
24,Cape Town,-33.9258,18.4232,295.32,66,0,3.13,ZA,1675904698
25,Luena,-11.7833,19.9167,290.01,84,100,1.51,AO,1675904881
26,Hobart,-42.8794,147.3294,294.29,58,75,4.12,AU,1675904454
27,Chuy,-33.6971,-53.4616,295.4,81,92,4.39,UY,1675904882
28,Bethel,41.3712,-73.414,279.35,64,0,0.0,US,1675904883
29,Maryborough,-25.5333,152.7,301.15,52,100,6.3,AU,1675904884
30,Jamestown,42.097,-79.2353,273.95,83,0,1.54,US,1675904884
31,Nikolskoye,59.7035,30.7861,275.09,95,100,3.94,RU,1675904885
32,Clyde River,70.4692,-68.5914,238.28,68,75,3.09,CA,1675904886
33,Vagur,61.4732,-6.8119,276.68,69,83,18.76,FO,1675904887
34,Marzuq,14.4,46.4667,290.54,30,42,2.07,YE,1675904887
35,Olafsvik,64.8945,-23.7142,268.67,69,100,13.63,IS,1675904888
36,Punta Arenas,-53.15,-70.9167,285.99,58,20,8.23,CL,1675904725
37,Yuanping,38.7153,112.7575,270.12,89,90,1.11,CN,1675904731
38,Ushuaia,-54.8,-68.3,283.96,93,75,2.06,AR,1675904555
39,East London,-33.0153,27.9116,292.96,92,100,0.77,ZA,1675904726
40,Hay River,60.8156,-115.7999,258.81,93,41,3.43,CA,1675904890
41,Atuona,-9.8,-139.0333,299.37,76,52,10.01,PF,1675904880
42,Noumea,-22.2763,166.4572,304.26,99,100,3.86,NC,1675904818
43,Saint-Philippe,-21.3585,55.7679,297.92,86,72,5.41,RE,1675904891
44,Salinas,36.6777,-121.6555,291.46,70,0,3.6,US,1675904700
45,Isangel,-19.55,169.2667,298.54,93,100,5.43,VU,1675904892
46,Marsa Matruh,31.3525,27.2453,284.6,62,91,5.32,EG,1675904893
47,Roma,43.2128,-75.4557,276.33,85,0,0.0,US,1675904254
48,Santa Cruz,-17.8,-63.1667,298.85,83,75,3.6,BO,1675904894
49,Guerrero Negro,27.9769,-114.0611,290.4,44,19,5.13,MX,1675904672
50,Mogadishu,2.0371,45.3438,297.92,84,25,6.5,SO,1675904895
51,Tiznit,29.5833,-9.5,282.31,65,0,0.27,MA,1675904896
